Country,GDP,quarter
Latvia,"7,695.31",2019Q2
Latvia,"8,091.11",2019Q3
Latvia,"8,059.38",2019Q4
Latvia,"6,747.99",2020Q1
Latvia,"6,941.23",2020Q2
Latvia,"7,812.22",2020Q3
Latvia,"7,955.38",2020Q4
Latvia,"6,836.40",2021Q1
Latvia,"8,151.12",2021Q2
Latvia,"8,856.05",2021Q3
Latvia,"9,022.95",2021Q4
Latvia,"7,632.76",2022Q1
Lithuania,"10,012.89",2018Q1
Lithuania,"11,291.66",2018Q2
Lithuania,"12,151.72",2018Q3
Lithuania,"12,058.53",2018Q4
Lithuania,"10,800.45",2019Q1
Lithuania,"12,152.48",2019Q2
Lithuania,"13,044.14",2019Q3
Lithuania,"12,862.80",2019Q4
Lithuania,"11,373.85",2020Q1
Lithuania,"11,722.29",2020Q2
Lithuania,"13,401.04",2020Q3
Lithuania,"13,010.04",2020Q4
Lithuania,"11,888.68",2021Q1
Lithuania,"13,578.50",2021Q2
Lithuania,"15,070.03",2021Q3
Lithuania,"14,845.91",2021Q4
Lithuania,"14,214.41",2022Q1
Luxembourg,"14,320.77",2018Q1
Luxembourg,"14,887.90",2018Q2
Luxembourg,"14,899.56",2018Q3
Luxembourg,"16,253.97",2018Q4
Luxembourg,"14,559.41",2019Q1
Luxembourg,"15,632.68",2019Q2
Luxembourg,"15,517.43",2019Q3
Luxembourg,"16,994.65",2019Q4
Luxembourg,"15,310.09",2020Q1
Luxembourg,"15,067.54",2020Q2
Luxembourg,"15,928.50",2020Q3
Luxembourg,"17,915.00",2020Q4
Luxembourg,"16,796.47",2021Q1
Luxembourg,"17,785.36",2021Q2
Luxembourg,"18,120.61",2021Q3
Luxembourg,"20,611.03",2021Q4
Luxembourg,"16,287.56",2022Q1
Malta,"2,985.17",2018Q1
Malta,"3,224.31",2018Q2
Malta,"3,439.04",2018Q3
Malta,"3,308.60",2018Q4
Malta,"3,263.93",2019Q1
Malta,"3,505.73",2019Q2
Malta,"3,677.15",2019Q3
Malta,"3,595.42",2019Q4
Malta,"3,368.62",2020Q1
Malta,"3,026.04",2020Q2
Malta,"3,308.44",2020Q3
Malta,"3,356.77",2020Q4
Malta,"3,398.18",2021Q1
Malta,"3,557.02",2021Q2
Malta,"3,803.43",2021Q3
Malta,"3,775.19",2021Q4
Malta,"3,412.06",2022Q1
Mauritius,"112,264.00",2018Q1
Mauritius,"119,926.00",2018Q2
Mauritius,"117,969.00",2018Q3
Mauritius,"131,097.00",2018Q4
Mauritius,"117,270.00",2019Q1
Mauritius,"124,221.00",2019Q2
Mauritius,"123,165.00",2019Q3
Mauritius,"133,618.00",2019Q4
Mauritius,"116,891.00",2020Q1
Mauritius,"84,189.00",2020Q2
Mauritius,"118,061.00",2020Q3
Mauritius,"118,061.00",2020Q4
Mauritius,"118,061.00",2021Q1
Mauritius,"118,061.00",2021Q2
Mauritius,"118,061.00",2021Q3
Mauritius,"118,061.00",2021Q4
Mauritius,"118,061.00",2022Q1
Mexico,"5,667,657.60",2018Q1
Mexico,"5,911,854.10",2018Q2
Mexico,"5,847,937.40",2018Q3
Mexico,"6,096,941.10",2018Q4
Mexico,"5,990,381.90",2019Q1
Mexico,"6,101,937.10",2019Q2
Mexico,"6,097,771.80",2019Q3
Mexico,"6,263,205.50",2019Q4
Mexico,"6,165,807.20",2020Q1
Mexico,"5,038,344.10",2020Q2
Mexico,"5,853,880.00",2020Q3
Mexico,"6,299,346.50",2020Q4
Mexico,"6,273,272.40",2021Q1
Mexico,"6,553,779.40",2021Q2
Mexico,"6,518,764.90",2021Q3
Mexico,"6,867,164.20",2021Q4
Mexico,"6,096,752.83",2022Q1
Moldova,"37,908.30",2018Q1
Moldova,"44,693.63",2018Q2
Moldova,"58,217.29",2018Q3
Moldova,"51,689.33",2018Q4
Moldova,"41,214.96",2019Q1
Moldova,"49,758.51",2019Q2
Moldova,"64,410.44",2019Q3
Moldova,"54,967.17",2019Q4
Moldova,"43,685.33",2020Q1
Moldova,"49,616.11",2020Q2
Moldova,"49,616.11",2020Q3
Moldova,"49,616.11",2020Q4
Moldova,"49,616.11",2021Q1
Moldova,"49,616.11",2021Q2
Moldova,"49,616.11",2021Q3
Moldova,"49,616.11",2021Q4
Moldova,"49,616.11",2022Q1
Netherlands,"188,022.00",2018Q1
Netherlands,"196,711.00",2018Q2
Netherlands,"190,249.00",2018Q3
Netherlands,"199,005.00",2018Q4
Netherlands,"197,442.00",2019Q1
Netherlands,"207,286.00",2019Q2
Netherlands,"199,768.00",2019Q3
Netherlands,"208,559.00",2019Q4
Netherlands,"201,819.00",2020Q1
Netherlands,"191,724.00",2020Q2
Netherlands,"198,696.00",2020Q3
Netherlands,"207,856.00",2020Q4
Netherlands,"202,192.00",2021Q1
Netherlands,"217,039.00",2021Q2
Netherlands,"215,421.00",2021Q3
Netherlands,"226,067.00",2021Q4
Netherlands,"202,991.00",2022Q1
New Zealand,"74,691.00",2018Q1
New Zealand,"74,537.00",2018Q2
New Zealand,"73,016.00",2018Q3
New Zealand,"80,370.00",2018Q4
New Zealand,"78,404.00",2019Q1
New Zealand,"78,373.00",2019Q2
New Zealand,"77,756.00",2019Q3
New Zealand,"85,566.00",2019Q4
New Zealand,"82,272.00",2020Q1
New Zealand,"73,137.00",2020Q2
New Zealand,"81,225.00",2020Q3
New Zealand,"87,506.00",2020Q4
New Zealand,"85,887.00",2021Q1
New Zealand,"87,859.00",2021Q2
New Zealand,"82,894.00",2021Q3
New Zealand,"93,443.00",2021Q4
New Zealand,"81,058.50",2022Q1
North Macedonia,"151,105.43",2018Q1
North Macedonia,"162,905.33",2018Q2
North Macedonia,"167,471.46",2018Q3
North Macedonia,"179,395.97",2018Q4
North Macedonia,"157,789.89",2019Q1
North Macedonia,"173,218.91",2019Q2
North Macedonia,"177,844.15",2019Q3
North Macedonia,"183,829.92",2019Q4
North Macedonia,"159,090.07",2020Q1
North Macedonia,"141,609.59",2020Q2
North Macedonia,"169,632.05",2020Q3
North Macedonia,"185,599.09",2020Q4
North Macedonia,"160,521.45",2021Q1
North Macedonia,"172,333.42",2021Q2
North Macedonia,"182,618.43",2021Q3
North Macedonia,"207,765.63",2021Q4
North Macedonia,"170,795.68",2022Q1
Norway,"863,316.00",2018Q1
Norway,"881,064.00",2018Q2
Norway,"866,288.00",2018Q3
Norway,"943,232.00",2018Q4
Norway,"901,848.00",2019Q1
Norway,"873,246.00",2019Q2
Norway,"851,138.00",2019Q3
Norway,"937,252.00",2019Q4
Norway,"890,310.00",2020Q1
Norway,"789,252.00",2020Q2
Norway,"822,700.00",2020Q3
Norway,"908,137.00",2020Q4
Norway,"921,527.00",2021Q1
Norway,"951,526.00",2021Q2
Norway,"1,024,870.00",2021Q3
Norway,"1,246,211.00",2021Q4
Norway,"916,994.81",2022Q1
Paraguay,"58,303,506.73",2018Q1
Paraguay,"57,192,676.99",2018Q2
Paraguay,"54,604,916.95",2018Q3
Paraguay,"60,475,376.81",2018Q4
Paraguay,"59,349,836.54",2019Q1
Paraguay,"56,836,939.61",2019Q2
Paraguay,"57,318,025.20",2019Q3
Paraguay,"63,176,695.71",2019Q4
Paraguay,"62,225,555.20",2020Q1
Paraguay,"53,732,887.82",2020Q2
Paraguay,"58,137,046.57",2020Q3
Paraguay,"65,819,239.20",2020Q4
Paraguay,"65,225,679.65",2021Q1
Paraguay,"64,165,638.35",2021Q2
Paraguay,"64,410,226.59",2021Q3
Paraguay,"70,301,457.56",2021Q4
Paraguay,"60,704,731.59",2022Q1
Philippines,"4,101,138.01",2018Q1
Philippines,"4,568,791.82",2018Q2
Philippines,"4,450,212.83",2018Q3
Philippines,"5,145,047.61",2018Q4
Philippines,"4,426,077.14",2019Q1
Philippines,"4,865,973.14",2019Q2
Philippines,"4,725,892.43",2019Q3
Philippines,"5,499,920.46",2019Q4
Philippines,"4,445,833.78",2020Q1
Philippines,"4,134,663.38",2020Q2
Philippines,"4,202,942.49",2020Q3
Philippines,"5,155,142.77",2020Q4
Philippines,"4,363,699.99",2021Q1
Philippines,"4,758,902.63",2021Q2
Philippines,"4,609,990.81",2021Q3
Philippines,"4,630,281.95",2021Q4
Philippines,"4,630,281.95",2022Q1
Poland,"488,230.00",2018Q1
Poland,"509,006.00",2018Q2
Poland,"526,563.40",2018Q3
Poland,"597,755.60",2018Q4
Poland,"527,737.20",2019Q1
Poland,"555,227.70",2019Q2
Poland,"569,870.40",2019Q3
Poland,"640,364.00",2019Q4
Poland,"561,807.80",2020Q1
Poland,"531,706.90",2020Q2
Poland,"589,278.10",2020Q3
Poland,"656,203.30",2020Q4
Poland,"590,751.40",2021Q1
Poland,"620,983.40",2021Q2
Poland,"655,521.80",2021Q3
Poland,"754,927.60",2021Q4
Poland,"585,995.91",2022Q1
Portugal,"48,609.67",2018Q1
Portugal,"51,366.80",2018Q2
Portugal,"52,348.94",2018Q3
Portugal,"52,858.72",2018Q4
Portugal,"51,076.74",2019Q1
Portugal,"53,731.18",2019Q2
Portugal,"54,451.13",2019Q3
Portugal,"55,115.57",2019Q4
Portugal,"50,682.83",2020Q1
Portugal,"45,607.60",2020Q2
Portugal,"51,483.84",2020Q3
Portugal,"52,313.31",2020Q4
Portugal,"48,710.34",2021Q1
Portugal,"52,592.09",2021Q2
Portugal,"54,329.60",2021Q3
Portugal,"55,645.50",2021Q4
Portugal,"51,932.74",2022Q1
Qatar,"160,151.75",2018Q1
Qatar,"162,958.73",2018Q2
Qatar,"171,916.89",2018Q3
Qatar,"172,311.87",2018Q4
Qatar,"163,192.77",2019Q1
Qatar,"158,552.89",2019Q2
Qatar,"160,093.77",2019Q3
Qatar,"160,151.98",2019Q4
Qatar,"150,691.29",2020Q1
Qatar,"114,879.58",2020Q2
Qatar,"125,324.71",2020Q3
Qatar,"134,761.79",2020Q4
Qatar,"148,277.44",2021Q1
Qatar,"156,310.33",2021Q2
Qatar,"152,826.84",2021Q3
Qatar,"152,826.84",2021Q4
Qatar,"152,826.84",2022Q1
Romania,"180,660.30",2018Q1
Romania,"220,882.10",2018Q2
Romania,"264,044.40",2018Q3
Romania,"286,141.70",2018Q4
Romania,"202,551.80",2019Q1
Romania,"247,420.90",2019Q2
Romania,"289,592.80",2019Q3
Romania,"319,407.70",2019Q4
Romania,"218,526.90",2020Q1
Romania,"226,621.50",2020Q2
Romania,"285,444.60",2020Q3
Romania,"328,333.10",2020Q4
Romania,"228,053.40",2021Q1
Romania,"275,104.60",2021Q2
Romania,"321,425.00",2021Q3
Romania,"357,334.90",2021Q4
Romania,"265,721.61",2022Q1
Rwanda,"2,027,000.00",2018Q1
Rwanda,"2,056,000.00",2018Q2
Rwanda,"2,077,000.00",2018Q3
Rwanda,"2,138,000.00",2018Q4
Rwanda,"2,151,000.00",2019Q1
Rwanda,"2,346,000.00",2019Q2
Rwanda,"2,356,000.00",2019Q3
Rwanda,"2,460,000.00",2019Q4
Rwanda,"2,410,000.00",2020Q1
Rwanda,"2,177,000.00",2020Q2
Rwanda,"2,453,000.00",2020Q3
Rwanda,"2,572,000.00",2020Q4
Rwanda,"2,588,000.00",2021Q1
Rwanda,"2,668,000.00",2021Q2
Rwanda,"2,758,000.00",2021Q3
Rwanda,"2,931,000.00",2021Q4
Rwanda,"2,385,500.00",2022Q1
Saudi Arabia,"723,053.50",2018Q1
Saudi Arabia,"765,639.10",2018Q2
Saudi Arabia,"775,364.60",2018Q3
Saudi Arabia,"798,112.80",2018Q4
Saudi Arabia,"725,803.70",2019Q1
Saudi Arabia,"750,499.70",2019Q2
Saudi Arabia,"755,028.50",2019Q3
Saudi Arabia,"782,229.10",2019Q4
Saudi Arabia,"694,823.60",2020Q1
Saudi Arabia,"565,585.70",2020Q2
Saudi Arabia,"672,367.20",2020Q3
Saudi Arabia,"704,852.30",2020Q4
Saudi Arabia,"715,368.10",2021Q1
Saudi Arabia,"735,469.90",2021Q2
Saudi Arabia,"820,147.50",2021Q3
Saudi Arabia,"854,793.70",2021Q4
Saudi Arabia,"739,946.19",2022Q1
Serbia,"1,153,023.65",2018Q1
Serbia,"1,262,944.78",2018Q2
Serbia,"1,306,236.42",2018Q3
Serbia,"1,350,727.40",2018Q4
Serbia,"1,208,337.95",2019Q1
Serbia,"1,337,500.83",2019Q2
Serbia,"1,403,347.09",2019Q3
Serbia,"1,472,665.44",2019Q4
Serbia,"1,312,505.44",2020Q1
Serbia,"1,280,746.47",2020Q2
Serbia,"1,411,462.89",2020Q3
Serbia,"1,497,501.47",2020Q4
Serbia,"1,364,724.44",2021Q1
Serbia,"1,532,313.56",2021Q2
Serbia,"1,624,455.38",2021Q3
Serbia,"1,747,220.60",2021Q4
Serbia,"1,391,607.11",2022Q1
Singapore,"119,513.50",2018Q1
Singapore,"122,261.10",2018Q2
Singapore,"125,976.40",2018Q3
Singapore,"130,759.60",2018Q4
Singapore,"125,295.40",2019Q1
Singapore,"125,593.00",2019Q2
Singapore,"125,886.70",2019Q3
Singapore,"128,190.20",2019Q4
Singapore,"124,043.30",2020Q1
Singapore,"105,613.00",2020Q2
Singapore,"116,862.40",2020Q3
Singapore,"122,401.70",2020Q4
Singapore,"124,478.50",2021Q1
Singapore,"125,086.10",2021Q2
Singapore,"122,997.21",2021Q3
Singapore,"122,997.21",2021Q4
Singapore,"122,997.21",2022Q1
Slovakia,"20,274.08",2018Q1
Slovakia,"22,451.67",2018Q2
Slovakia,"23,673.49",2018Q3
Slovakia,"23,030.79",2018Q4
Slovakia,"21,672.84",2019Q1
Slovakia,"23,608.02",2019Q2
Slovakia,"24,559.68",2019Q3
Slovakia,"24,207.50",2019Q4
Slovakia,"21,642.68",2020Q1
Slovakia,"21,533.95",2020Q2
Slovakia,"24,577.76",2020Q3
Slovakia,"24,324.86",2020Q4
Slovakia,"21,818.83",2021Q1
Slovakia,"24,077.68",2021Q2
Slovakia,"25,637.22",2021Q3
Slovakia,"25,588.78",2021Q4
Slovakia,"23,292.49",2022Q1
Slovenia,"10,560.34",2018Q1
Slovenia,"11,534.32",2018Q2
Slovenia,"11,837.13",2018Q3
Slovenia,"11,932.46",2018Q4
Slovenia,"11,198.87",2019Q1
Slovenia,"12,154.59",2019Q2
Slovenia,"12,512.35",2019Q3
Slovenia,"12,530.89",2019Q4
Slovenia,"11,348.49",2020Q1
Slovenia,"10,987.09",2020Q2
Slovenia,"12,307.74",2020Q3
Slovenia,"12,274.72",2020Q4
Slovenia,"11,667.13",2021Q1
Slovenia,"13,027.15",2021Q2
Slovenia,"13,358.75",2021Q3
Slovenia,"13,967.13",2021Q4
Slovenia,"12,074.95",2022Q1
South Africa,"1,266,554.40",2018Q1
South Africa,"1,333,426.10",2018Q2
South Africa,"1,364,164.80",2018Q3
South Africa,"1,393,494.80",2018Q4
South Africa,"1,327,230.50",2019Q1
South Africa,"1,399,516.90",2019Q2
South Africa,"1,423,795.70",2019Q3
South Africa,"1,454,490.70",2019Q4
South Africa,"1,408,856.20",2020Q1
South Africa,"1,208,499.20",2020Q2
South Africa,"1,404,540.10",2020Q3
South Africa,"1,499,179.60",2020Q4
South Africa,"1,464,220.90",2021Q1
South Africa,"1,574,931.30",2021Q2
South Africa,"1,561,182.60",2021Q3
South Africa,"1,605,918.40",2021Q4
South Africa,"1,418,125.14",2022Q1
Spain,"286,562.00",2018Q1
Spain,"304,836.00",2018Q2
Spain,"296,887.00",2018Q3
Spain,"314,974.00",2018Q4
Spain,"299,029.00",2019Q1
Spain,"315,507.00",2019Q2
Spain,"305,611.00",2019Q3
Spain,"324,228.00",2019Q4
Spain,"289,305.00",2020Q1
Spain,"251,187.00",2020Q2
Spain,"282,149.00",2020Q3
Spain,"299,307.00",2020Q4
Spain,"279,732.00",2021Q1
Spain,"300,089.00",2021Q2
Spain,"297,498.00",2021Q3
Spain,"327,744.00",2021Q4
Spain,"309,665.00",2022Q1
Sri Lanka,"3,579,707.68",2018Q1
Sri Lanka,"3,423,547.06",2018Q2
Sri Lanka,"3,574,508.67",2018Q3
Sri Lanka,"3,713,143.60",2018Q4
Sri Lanka,"3,758,160.45",2019Q1
Sri Lanka,"3,589,587.47",2019Q2
Sri Lanka,"3,828,878.79",2019Q3
Sri Lanka,"3,836,326.68",2019Q4
Sri Lanka,"3,844,079.30",2020Q1
Sri Lanka,"3,007,345.49",2020Q2
Sri Lanka,"4,087,148.49",2020Q3
Sri Lanka,"4,034,422.17",2020Q4
Sri Lanka,"4,173,777.35",2021Q1
Sri Lanka,"3,626,481.83",2021Q2
Sri Lanka,"4,132,955.00",2021Q3
Sri Lanka,"3,747,338.00",2021Q4
Sri Lanka,"3,747,338.00",2022Q1
Sweden,"1,156,753.00",2018Q1
Sweden,"1,248,459.00",2018Q2
Sweden,"1,147,430.00",2018Q3
Sweden,"1,275,664.00",2018Q4
Sweden,"1,215,483.00",2019Q1
Sweden,"1,297,178.00",2019Q2
Sweden,"1,213,808.00",2019Q3
Sweden,"1,323,150.00",2019Q4
Sweden,"1,242,160.00",2020Q1
Sweden,"1,218,160.00",2020Q2
Sweden,"1,199,312.00",2020Q3
Sweden,"1,327,632.00",2020Q4
Sweden,"1,261,154.00",2021Q1
Sweden,"1,362,096.00",2021Q2
Sweden,"1,297,413.00",2021Q3
Sweden,"1,460,600.00",2021Q4
Sweden,"1,265,403.25",2022Q1
Switzerland,"174,351.46",2018Q1
Switzerland,"180,995.02",2018Q2
Switzerland,"179,628.05",2018Q3
Switzerland,"184,297.09",2018Q4
Switzerland,"177,837.21",2019Q1
Switzerland,"181,859.15",2019Q2
Switzerland,"181,627.40",2019Q3
Switzerland,"185,888.38",2019Q4
Switzerland,"176,329.02",2020Q1
Switzerland,"168,547.86",2020Q2
Switzerland,"178,419.26",2020Q3
Switzerland,"182,945.68",2020Q4
Switzerland,"176,128.98",2021Q1
Switzerland,"184,857.89",2021Q2
Switzerland,"188,165.80",2021Q3
Switzerland,"193,682.38",2021Q4
Switzerland,"180,972.54",2022Q1
Thailand,"4,043,030.00",2018Q1
Thailand,"3,909,827.00",2018Q2
Thailand,"4,093,802.00",2018Q3
Thailand,"4,182,009.00",2018Q4
Thailand,"4,199,401.00",2019Q1
Thailand,"4,062,815.00",2019Q2
Thailand,"4,210,768.00",2019Q3
Thailand,"4,265,889.00",2019Q4
Thailand,"4,143,424.00",2020Q1
Thailand,"3,478,897.00",2020Q2
Thailand,"3,932,330.00",2020Q3
Thailand,"4,072,727.00",2020Q4
Thailand,"4,055,987.00",2021Q1
Thailand,"3,854,466.00",2021Q2
Thailand,"3,937,153.00",2021Q3
Thailand,"4,186,563.00",2021Q4
Thailand,"4,039,318.00",2022Q1
Turkey,"796,446.45",2018Q1
Turkey,"898,233.34",2018Q2
Turkey,"1,036,750.26",2018Q3
Turkey,"1,027,343.68",2018Q4
Turkey,"925,663.41",2019Q1
Turkey,"1,030,126.78",2019Q2
Turkey,"1,157,445.87",2019Q3
Turkey,"1,204,550.85",2019Q4
Turkey,"1,071,223.32",2020Q1
Turkey,"1,037,692.32",2020Q2
Turkey,"1,413,882.66",2020Q3
Turkey,"1,524,085.00",2020Q4
Turkey,"1,390,703.78",2021Q1
Turkey,"1,585,212.73",2021Q2
Turkey,"1,919,314.38",2021Q3
Turkey,"2,313,809.58",2021Q4
Turkey,"1,270,780.28",2022Q1
United Kingdom,"535,685.00",2018Q1
United Kingdom,"536,616.00",2018Q2
United Kingdom,"542,782.00",2018Q3
United Kingdom,"559,297.00",2018Q4
United Kingdom,"561,009.00",2019Q1
United Kingdom,"554,257.00",2019Q2
United Kingdom,"563,283.00",2019Q3
United Kingdom,"576,734.00",2019Q4
United Kingdom,"566,340.00",2020Q1
United Kingdom,"484,182.00",2020Q2
United Kingdom,"537,153.00",2020Q3
United Kingdom,"562,706.00",2020Q4
United Kingdom,"556,955.00",2021Q1
United Kingdom,"572,747.00",2021Q2
United Kingdom,"579,636.00",2021Q3
United Kingdom,"607,716.00",2021Q4
United Kingdom,"1,270,780.28",2022Q1
United States,"4,922,068.00",2018Q1
United States,"5,133,858.00",2018Q2
United States,"5,188,286.00",2018Q3
United States,"5,282,947.00",2018Q4
United States,"5,116,745.00",2019Q1
United States,"5,344,896.00",2019Q2
United States,"5,398,173.00",2019Q3
United States,"5,512,768.00",2019Q4
United States,"5,224,481.00",2020Q1
United States,"4,876,877.00",2020Q2
United States,"5,302,337.00",2020Q3
United States,"5,490,052.00",2020Q4
United States,"5,367,754.00",2021Q1
United States,"5,711,844.00",2021Q2
United States,"5,822,816.00",2021Q3
United States,"6,121,436.00",2021Q4
United States,"5,984,654.00",2022Q1
